sales,month,year,display_size,primary_camera,ram,storage,battery,prices,market
1.32,12,2013,4.0,8.0,1024.0,32.0,1570.0,661.34,ios
0.83,1,2014,4.0,8.0,1024.0,32.0,1570.0,642.07,ios
0.36,2,2014,4.0,8.0,1024.0,32.0,1570.0,623.37,ios
0.3,3,2014,4.0,8.0,1024.0,32.0,1570.0,631.94,ios
0.25,4,2014,4.0,8.0,1024.0,32.0,1570.0,631.94,ios
0.46,5,2014,4.0,8.0,1024.0,32.0,1570.0,649.4,ios
0.4,6,2014,4.0,8.0,1024.0,32.0,1570.0,607.6,ios
0.33,7,2014,4.0,8.0,1024.0,32.0,1570.0,666.49,ios
0.52,8,2014,4.0,8.0,1024.0,32.0,1570.0,637.93,ios
0.0399999999999999,9,2014,4.0,8.0,1024.0,32.0,1570.0,610.5,ios
0.05,10,2014,4.0,8.0,1024.0,32.0,1570.0,554.87,ios
0.06,11,2014,4.0,8.0,1024.0,32.0,1570.0,537.04,ios
0.06,12,2014,4.0,8.0,1024.0,32.0,1570.0,525.57,ios
1.02,9,2014,4.7,8.0,1024.0,16.0,1810.0,625.53,ios
1.03,10,2014,4.7,8.0,1024.0,16.0,1810.0,627.29,ios
1.12,11,2014,4.7,8.0,1024.0,16.0,1810.0,603.25,ios
1.23,12,2014,4.7,8.0,1024.0,16.0,1810.0,594.96,ios
0.15,2,2013,4.8,8.0,1024.0,16.0,2100.0,338.24,google-play
0.4500000000000001,3,2013,4.8,8.0,1024.0,16.0,2100.0,338.24,google-play
1.85,4,2013,4.8,8.0,1024.0,16.0,2100.0,338.24,google-play
1.195,5,2013,4.8,8.0,1024.0,16.0,2100.0,328.39,google-play
0.54,6,2013,4.8,8.0,1024.0,16.0,2100.0,318.82,google-play
0.22,7,2013,4.8,8.0,1024.0,16.0,2100.0,309.54,google-play
0.2,8,2013,4.8,8.0,1024.0,16.0,2100.0,300.52,google-play
0.27,9,2013,4.8,8.0,1024.0,16.0,2100.0,291.77,google-play
0.13,10,2013,4.8,8.0,1024.0,16.0,2100.0,283.27,google-play
0.07,11,2013,4.8,8.0,1024.0,16.0,2100.0,275.02,google-play
0.02,12,2013,4.8,8.0,1024.0,16.0,2100.0,267.01,google-play
0.11,1,2014,4.8,8.0,1024.0,16.0,2100.0,259.23,google-play
0.02,2,2014,4.8,8.0,1024.0,16.0,2100.0,251.68,google-play
0.23,9,2013,4.0,8.0,1024.0,32.0,1510.0,538.95,ios
0.21,10,2013,4.0,8.0,1024.0,32.0,1510.0,523.26,ios
0.51,11,2013,4.0,8.0,1024.0,32.0,1510.0,508.02,ios
0.12,12,2013,4.0,8.0,1024.0,32.0,1510.0,493.22,ios
0.5,1,2014,4.0,8.0,1024.0,32.0,1510.0,478.85,ios
1.28,2,2014,4.0,8.0,1024.0,32.0,1510.0,464.91,ios
0.3400000000000001,3,2014,4.0,8.0,1024.0,32.0,1510.0,461.18,ios
0.48,4,2014,4.0,8.0,1024.0,32.0,1510.0,465.42,ios
0.29,5,2014,4.0,8.0,1024.0,32.0,1510.0,485.95,ios
0.28,6,2014,4.0,8.0,1024.0,32.0,1510.0,467.43,ios
0.2,7,2014,4.0,8.0,1024.0,32.0,1510.0,505.14,ios
0.21,8,2014,4.0,8.0,1024.0,32.0,1510.0,475.71,ios
0.06,9,2014,4.0,8.0,1024.0,32.0,1510.0,497.85,ios
0.07,10,2014,4.0,8.0,1024.0,32.0,1510.0,426.62,ios
0.05,11,2014,4.0,8.0,1024.0,32.0,1510.0,423.79,ios
0.05,12,2014,4.0,8.0,1024.0,32.0,1510.0,384.6,ios
0.24,9,2013,5.2,13.0,2048.0,24.0,3000.0,424.49,google-play
0.46,10,2013,5.2,13.0,2048.0,24.0,3000.0,412.13,google-play
0.44,11,2013,5.2,13.0,2048.0,24.0,3000.0,400.13,google-play
0.52,12,2013,5.2,13.0,2048.0,24.0,3000.0,388.47,google-play
0.41,1,2014,5.2,13.0,2048.0,24.0,3000.0,377.16,google-play
0.41,2,2014,5.2,13.0,2048.0,24.0,3000.0,366.17,google-play
0.49,3,2014,5.2,13.0,2048.0,24.0,3000.0,380.78,google-play
0.5,4,2014,5.2,13.0,2048.0,24.0,3000.0,359.99,google-play
0.51,5,2014,5.2,13.0,2048.0,24.0,3000.0,361.01,google-play
0.445,6,2014,5.2,13.0,2048.0,24.0,3000.0,333.65,google-play
0.38,7,2014,5.2,13.0,2048.0,24.0,3000.0,341.8,google-play
0.28,8,2014,5.2,13.0,2048.0,24.0,3000.0,336.88,google-play
0.19,9,2014,5.2,13.0,2048.0,24.0,3000.0,324.27,google-play
0.12,10,2014,5.2,13.0,2048.0,24.0,3000.0,294.23,google-play
0.22,11,2014,5.2,13.0,2048.0,24.0,3000.0,301.49,google-play
0.06,12,2014,5.2,13.0,2048.0,24.0,3000.0,305.08,google-play
0.67,9,2013,4.0,8.0,1024.0,64.0,1560.0,817.47,ios
0.21,10,2013,4.0,8.0,1024.0,64.0,1560.0,793.66,ios
0.51,11,2013,4.0,8.0,1024.0,64.0,1560.0,770.54,ios
0.55,12,2013,4.0,8.0,1024.0,64.0,1560.0,748.1,ios
0.31,1,2014,4.0,8.0,1024.0,64.0,1560.0,726.31,ios
0.67,2,2014,4.0,8.0,1024.0,64.0,1560.0,705.16,ios
0.3,3,2014,4.0,8.0,1024.0,64.0,1560.0,723.21,ios
0.25,4,2014,4.0,8.0,1024.0,64.0,1560.0,723.21,ios
0.23,5,2014,4.0,8.0,1024.0,64.0,1560.0,718.27,ios
0.22,6,2014,4.0,8.0,1024.0,64.0,1560.0,677.53,ios
0.14,7,2014,4.0,8.0,1024.0,64.0,1560.0,740.34,ios
0.41,8,2014,4.0,8.0,1024.0,64.0,1560.0,694.59,ios
0.0399999999999999,9,2014,4.0,8.0,1024.0,64.0,1560.0,663.25,ios
0.02,10,2014,4.0,8.0,1024.0,64.0,1560.0,599.72,ios
0.04,11,2014,4.0,8.0,1024.0,64.0,1560.0,590.08,ios
0.04,12,2014,4.0,8.0,1024.0,64.0,1560.0,550.96,ios
0.86,9,2014,4.7,8.0,1024.0,64.0,1810.0,709.49,ios
0.69,10,2014,4.7,8.0,1024.0,64.0,1810.0,711.56,ios
1.07,11,2014,4.7,8.0,1024.0,64.0,1810.0,709.21,ios
1.14,12,2014,4.7,8.0,1024.0,64.0,1810.0,681.86,ios
0.73,1,2013,4.0,8.0,1024.0,32.0,1440.0,719.33,ios
0.06,2,2013,4.0,8.0,1024.0,32.0,1440.0,718.25,ios
0.75,3,2013,4.0,8.0,1024.0,32.0,1440.0,717.8,ios
0.78,4,2013,4.0,8.0,1024.0,32.0,1440.0,717.62,ios
0.45,5,2013,4.0,8.0,1024.0,32.0,1440.0,696.71,ios
0.12,6,2013,4.0,8.0,1024.0,32.0,1440.0,676.42,ios
0.25,7,2013,4.0,8.0,1024.0,32.0,1440.0,656.72,ios
0.32,8,2013,4.0,8.0,1024.0,32.0,1440.0,637.59,ios
0.12,9,2013,4.0,8.0,1024.0,32.0,1440.0,619.02,ios
0.06,10,2013,4.0,8.0,1024.0,32.0,1440.0,600.99,ios
0.05,11,2013,4.0,8.0,1024.0,32.0,1440.0,583.49,ios
0.07,12,2013,4.0,8.0,1024.0,32.0,1440.0,566.49,ios
0.03,1,2014,4.0,8.0,1024.0,32.0,1440.0,549.99,ios
0.05,2,2014,4.0,8.0,1024.0,32.0,1440.0,533.97,ios
0.03,3,2014,4.0,8.0,1024.0,32.0,1440.0,549.08,ios
0.02,4,2014,4.0,8.0,1024.0,32.0,1440.0,549.08,ios
0.01,5,2014,4.0,8.0,1024.0,32.0,1440.0,508.44,ios
0.01,6,2014,4.0,8.0,1024.0,32.0,1440.0,466.46,ios
0.01,7,2014,4.0,8.0,1024.0,32.0,1440.0,479.76,ios
0.01,8,2014,4.0,8.0,1024.0,32.0,1440.0,461.38,ios
0.01,9,2014,4.0,8.0,1024.0,32.0,1440.0,456.74,ios
0.01,10,2014,4.0,8.0,1024.0,32.0,1440.0,433.32,ios
0.01,11,2014,4.0,8.0,1024.0,32.0,1440.0,393.75,ios
0.01,12,2014,4.0,8.0,1024.0,32.0,1440.0,361.95,ios
0.54,9,2013,3.5,8.0,512.0,8.0,1430.0,390.9,ios
0.03,10,2013,3.5,8.0,512.0,8.0,1430.0,379.51,ios
0.72,11,2013,3.5,8.0,512.0,8.0,1430.0,368.46,ios
0.56,12,2013,3.5,8.0,512.0,8.0,1430.0,357.73,ios
0.14,1,2014,3.5,8.0,512.0,8.0,1430.0,347.31,ios
0.31,2,2014,3.5,8.0,512.0,8.0,1430.0,337.19,ios
0.25,3,2014,3.5,8.0,512.0,8.0,1430.0,332.73,ios
0.19,4,2014,3.5,8.0,512.0,8.0,1430.0,332.73,ios
0.33,5,2014,3.5,8.0,512.0,8.0,1430.0,316.5,ios
0.34,6,2014,3.5,8.0,512.0,8.0,1430.0,301.8,ios
0.23,7,2014,3.5,8.0,512.0,8.0,1430.0,317.75,ios
0.42,8,2014,3.5,8.0,512.0,8.0,1430.0,309.53,ios
0.0299999999999999,9,2014,3.5,8.0,512.0,8.0,1430.0,303.34,ios
0.02,10,2014,3.5,8.0,512.0,8.0,1430.0,290.19,ios
0.04,11,2014,3.5,8.0,512.0,8.0,1430.0,290.31,ios
0.04,12,2014,3.5,8.0,512.0,8.0,1430.0,262.33,ios
0.01,2,2013,4.7,4.0,2048.0,64.0,2300.0,587.61,google-play
0.07,3,2013,4.7,4.0,2048.0,64.0,2300.0,587.61,google-play
0.13,4,2013,4.7,4.0,2048.0,64.0,2300.0,587.61,google-play
1.7399999999999998,5,2013,4.7,4.0,2048.0,64.0,2300.0,570.49,google-play
0.1499999999999999,6,2013,4.7,4.0,2048.0,64.0,2300.0,553.88,google-play
0.05,7,2013,4.7,4.0,2048.0,64.0,2300.0,537.74,google-play
0.27,8,2013,4.7,4.0,2048.0,64.0,2300.0,522.08,google-play
0.13,9,2013,4.7,4.0,2048.0,64.0,2300.0,506.88,google-play
0.13,10,2013,4.7,4.0,2048.0,64.0,2300.0,492.11,google-play
0.08,11,2013,4.7,4.0,2048.0,64.0,2300.0,477.78,google-play
0.12,12,2013,4.7,4.0,2048.0,64.0,2300.0,463.86,google-play
0.1,1,2014,4.7,4.0,2048.0,64.0,2300.0,450.35,google-play
0.17,2,2014,4.7,4.0,2048.0,64.0,2300.0,437.24,google-play
0.18,3,2014,4.7,4.0,2048.0,64.0,2300.0,423.75,google-play
0.2,4,2014,4.7,4.0,2048.0,64.0,2300.0,401.47,google-play
0.17,5,2014,4.7,4.0,2048.0,64.0,2300.0,377.06,google-play
0.07,6,2014,4.7,4.0,2048.0,64.0,2300.0,369.18,google-play
0.05,7,2014,4.7,4.0,2048.0,64.0,2300.0,369.23,google-play
0.07,8,2014,4.7,4.0,2048.0,64.0,2300.0,384.25,google-play
0.01,9,2014,4.7,4.0,2048.0,64.0,2300.0,340.73,google-play
0.01,10,2014,4.7,4.0,2048.0,64.0,2300.0,317.59,google-play
0.01,11,2014,4.7,4.0,2048.0,64.0,2300.0,319.33,google-play
0.5,9,2014,5.7,16.0,3072.0,32.0,3220.0,650.65,google-play
1.06,10,2014,5.7,16.0,3072.0,32.0,3220.0,625.76,google-play
0.98,11,2014,5.7,16.0,3072.0,32.0,3220.0,600.07,google-play
1.06,12,2014,5.7,16.0,3072.0,32.0,3220.0,571.53,google-play
0.24,9,2013,4.7,10.0,2048.0,16.0,2200.0,453.56,google-play
0.3,10,2013,4.7,10.0,2048.0,16.0,2200.0,440.35,google-play
0.44,11,2013,4.7,10.0,2048.0,16.0,2200.0,427.53,google-play
0.22,12,2013,4.7,10.0,2048.0,16.0,2200.0,415.08,google-play
0.22,1,2014,4.7,10.0,2048.0,16.0,2200.0,402.99,google-play
0.17,2,2014,4.7,10.0,2048.0,16.0,2200.0,391.25,google-play
0.18,3,2014,4.7,10.0,2048.0,16.0,2200.0,367.78,google-play
0.32,4,2014,4.7,10.0,2048.0,16.0,2200.0,353.5,google-play
0.36,5,2014,4.7,10.0,2048.0,16.0,2200.0,347.93,google-play
