FOD_ID,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,distance,air_temperature,relative_humidity,wind_speed,precipitation,AQI_AGGREGATE,month
300201879,Lightning,0.1,0,40.75194444,-121.00666667,CA,6.0,12.22,92.0,1.79,168.91,0.0,1
300201880,Lightning,0.1,0,40.59527778,-121.29333333,CA,9.27,16.11,53.0,0.9,21.717,0.0,1
300201881,Lightning,0.25,0,40.63527778,-121.49305556,CA,8.095,11.855,46.0,0.85,50.292,46.0,1
300201882,Miscellaneous,21.0,0,34.48027778,-119.63861111,CA,4.2475,19.1966666666667,55.25,3.66,33.782,39.3571428571429,1
300201883,Lightning,0.1,0,34.65777778,-118.84611111,CA,8.77,20.3933333333333,49.8733333333333,2.51,127.381,0.0,1
300201884,Lightning,3.4,0,34.66833333,-118.85194444,CA,8.51,21.5833333333333,49.63,2.44,254.762,0.0,1
300201885,Lightning,0.4,0,34.65777778,-118.84611111,CA,8.77,20.3933333333333,49.8733333333333,2.51,127.381,0.0,1
300201886,Lightning,6.5,0,34.66055556,-118.84638889,CA,8.8175,20.3933333333333,49.8733333333333,2.51,127.381,0.0,1
300201887,Lightning,0.1,0,34.81916667,-119.38166667,CA,9.62,16.11,75.0,0.0,64.77,0.0,1
300201888,Lightning,0.1,0,34.82888889,-119.50638889,CA,9.06,16.89,83.0,1.54,,0.0,1
300201889,Lightning,0.1,0,34.80972222,-119.54222222,CA,9.17,16.89,83.0,1.54,,0.0,1
300201890,Miscellaneous,282.0,0,34.59694444,-119.33055556,CA,8.05,10.9233333333333,76.3,0.225,58.42,0.0,1
300201891,Children,0.1,0,34.40833333,-119.35027778,CA,4.338,14.786,91.0,0.5,110.49,37.75,1
300201892,Miscellaneous,0.1,0,34.48222222,-119.77305556,CA,3.79,18.98,68.4,1.365,3.302,37.5416666666667,1
300201893,Lightning,0.1,0,34.93777778,-119.47638889,CA,8.095,7.165,81.0,2.175,,0.0,1
300201895,Arson,0.56,0,36.01027778,-121.43472222,CA,8.65666666666667,16.95,42.6666666666667,1.15666666666667,1038.606,0.0,1
300201897,Lightning,0.1,0,34.78861111,-119.33472222,CA,7.46,17.22,45.0,0.0,64.008,0.0,1
300201898,Lightning,0.1,0,34.76611111,-119.15777778,CA,6.29,10.835,94.5,0.0,169.164,0.0,1
300201899,Lightning,0.1,0,34.82805556,-119.19916667,CA,8.58,13.33,58.0,0.0,,0.0,1
300201903,Lightning,0.1,0,39.23888889,-122.66944444,CA,7.54,18.52,53.6666666666667,3.135,627.464666666667,0.0,1
300201904,Lightning,7.0,0,39.55611111,-122.75972222,CA,6.86,18.89,33.0,0.45,23.114,0.0,1
300201905,Arson,0.2,0,39.20722222,-122.82166667,CA,5.56333333333333,6.665,71.5,2.46,656.505333333333,0.0,1
300201908,Lightning,0.1,0,39.96305556,-123.03388889,CA,9.84,19.165,59.0,4.47,461.899,0.0,1
300201910,Lightning,0.1,0,41.7875,-120.24694444,CA,5.645,11.945,85.5,1.565,39.878,0.0,1
300201911,Lightning,0.1,0,41.85611111,-120.99805556,CA,7.17,16.67,50.0,0.45,200.406,0.0,1
300201913,Lightning,0.1,0,41.92027778,-120.79638889,CA,5.41,14.8133333333333,51.0,0.9,354.584,0.0,1
300201914,Lightning,0.1,0,41.82833333,-120.31833333,CA,6.04,15.83,46.5,1.565,19.304,0.0,1
300201915,Lightning,0.1,0,41.83694444,-120.22833333,CA,5.245,11.945,85.5,1.565,39.878,0.0,1
300201916,Lightning,0.1,0,41.85555556,-120.25833333,CA,5.665,15.83,46.5,1.565,19.304,0.0,1
300201917,Lightning,0.6,0,41.63416667,-120.71416667,CA,7.62,19.44,36.0,2.68,42.164,0.0,1
300201918,Miscellaneous,4.3,0,41.2875,-120.88833333,CA,3.56,-1.17,69.0,0.45,322.58,0.0,1
300201919,Lightning,0.1,0,41.84333333,-121.00166667,CA,7.18,17.78,53.0,1.34,175.514,0.0,1
300201920,Lightning,0.1,0,41.83722222,-120.94916667,CA,4.45,12.22,83.0,1.79,205.74,0.0,1
300201921,Lightning,0.1,0,41.64638889,-121.58666667,CA,5.225,11.665,75.0,0.0,211.328,0.0,1
300201922,Lightning,0.1,0,41.48861111,-121.30527778,CA,9.405,6.11,54.0,2.905,38.481,0.0,1
300201923,Lightning,0.1,0,41.435,-121.405,CA,3.03,6.11,53.0,2.68,52.832,0.0,1
300201924,Lightning,0.1,0,41.71833333,-121.44722222,CA,6.495,5.835,54.5,2.905,118.11,0.0,1
300201926,Lightning,0.1,0,41.7875,-121.02361111,CA,8.76,21.11,25.0,0.9,207.518,0.0,1
300201927,Lightning,2.0,0,41.51722222,-121.26722222,CA,7.81,16.67,54.0,1.34,10.668,0.0,1
300201928,Lightning,0.4,0,41.41666667,-121.48194444,CA,1.24,7.22,89.0,1.34,172.974,0.0,1
300201929,Lightning,0.25,0,41.105,-120.835,CA,9.31,9.7,,,591.82,0.0,1
300201930,Lightning,0.25,0,41.67611111,-121.55444444,CA,5.175,10.555,65.0,3.58,210.82,0.0,1
300201932,Lightning,11.2,0,41.74638889,-121.6125,CA,5.97,21.11,48.0,2.68,198.374,0.0,1
300201933,Lightning,0.1,0,41.68833333,-121.49166667,CA,5.59,3.06,54.0,2.68,212.09,0.0,1
300201934,Lightning,70.8,0,41.75694444,-121.40111111,CA,6.27,15.0,71.0,1.34,212.09,0.0,1
300201935,Lightning,0.38,0,41.40527778,-121.49222222,CA,2.16,14.44,65.0,2.23,52.578,0.0,1
300201936,Lightning,1.25,0,41.525,-121.42805556,CA,8.385,12.5,52.0,2.685,314.325,0.0,1
300201939,Lightning,1.25,0,41.40805556,-121.37833333,CA,4.56,17.78,67.0,3.58,252.984,0.0,1
300201941,Lightning,0.1,0,41.39416667,-121.39611111,CA,4.13,17.78,67.0,3.58,252.984,0.0,1
300201942,Lightning,0.1,0,41.46666667,-121.49055556,CA,3.1,17.78,67.0,3.58,252.984,0.0,1
300201943,Lightning,4812.0,1,41.39833333,-121.39166667,CA,4.18,22.22,17.0,2.68,45.72,0.0,1
300201944,Lightning,0.4,0,41.585,-121.10666667,CA,5.36,5.7,88.0,1.94,,0.0,1
300201945,Lightning,0.1,0,41.34972222,-120.30888889,CA,6.175,6.39,97.0,2.01,289.941,0.0,1
300201946,Lightning,0.1,0,41.42333333,-121.01694444,CA,7.78,5.56,100.0,0.0,276.86,0.0,1
300201947,Lightning,0.1,0,41.44777778,-120.94055556,CA,3.68,6.67,85.0,0.0,207.772,0.0,1
300201949,Lightning,0.1,0,41.98138889,-120.58027778,CA,6.97,11.4,,,474.98,0.0,1
300201953,Lightning,15.7,0,41.91416667,-120.85916667,CA,6.80666666666667,13.4166666666667,50.0,0.45,377.52866666666705,0.0,1
300201954,Lightning,0.1,0,41.82583333,-120.0,CA,7.715,16.115,79.5,1.565,2.54,0.0,1
300201955,Lightning,0.5,0,41.70666667,-120.81527778,CA,8.87,11.67,31.0,0.9,205.74,0.0,1
300201956,Lightning,0.1,0,41.57055556,-121.14805556,CA,8.72,16.67,54.0,1.34,10.668,0.0,1
300201958,Lightning,0.1,0,41.85833333,-120.90388889,CA,5.52,16.04,53.0,1.34,269.367,0.0,1
300201959,Lightning,0.1,0,41.82222222,-120.65527778,CA,6.99,12.28,,,411.48,0.0,1
300201960,Lightning,0.1,0,41.73361111,-120.32416667,CA,3.31,-2.78,98.0,0.45,694.69,0.0,1
300201961,Lightning,14.2,0,41.80055556,-120.33861111,CA,1.65,9.44,70.0,1.79,39.878,0.0,1
300201962,Lightning,0.04,0,41.73361111,-120.3475,CA,3.61,2.78,51.0,1.34,51.816,0.0,1
300201963,Lightning,0.27,0,41.76333333,-120.34833333,CA,1.95,10.56,73.0,0.0,51.816,0.0,1
300201964,Lightning,0.1,0,41.78222222,-120.255,CA,5.695,11.945,85.5,1.565,39.878,0.0,1
300201965,Campfire,0.1,0,41.77694444,-120.76444444,CA,7.165,1.695,66.0,1.79,139.065,0.0,1
300201966,Lightning,0.3,0,41.60472222,-121.06777778,CA,7.21,11.8,82.0,0.56,,0.0,1
300201967,Lightning,1.4,0,41.44888889,-121.44277778,CA,1.82,7.22,89.0,1.34,172.974,0.0,1
300201968,Lightning,0.1,0,41.38833333,-121.455,CA,2.71,7.22,89.0,1.34,172.974,0.0,1
300201969,Lightning,0.2,0,41.12833333,-121.75777778,CA,9.405,9.175,85.0,,1099.566,0.0,1
300201970,Lightning,1.58,0,41.47194444,-121.45805556,CA,3.11,10.56,71.0,2.68,233.172,0.0,1
300201971,Lightning,5.0,0,41.57638889,-121.28361111,CA,3.64,12.22,85.0,2.68,21.59,0.0,1
300201972,Lightning,0.2,0,41.53861111,-121.43944444,CA,8.97666666666667,13.7066666666667,54.5,2.235,5.334,0.0,1
300201976,Lightning,0.1,0,41.24638889,-121.01472222,CA,8.07,20.0,47.0,1.34,49.784,0.0,1
300201977,Lightning,0.1,0,41.165,-120.80166667,CA,7.065,12.5,69.0,2.23,339.09,0.0,1
300201978,Lightning,0.1,0,41.37138889,-120.93972222,CA,6.81,15.0,69.0,2.23,48.26,0.0,1
300201979,Lightning,0.1,0,41.87611111,-120.98083333,CA,6.84,17.78,53.0,1.34,175.514,0.0,1
300201980,Lightning,1.32,0,41.57583333,-121.27944444,CA,3.73,-2.22,73.0,3.13,295.148,0.0,1
300201981,Lightning,1.32,0,41.55,-121.38166667,CA,8.18,7.22,94.5,2.01,234.823,0.0,1
300201982,Lightning,1.0,0,40.59916667,-123.59111111,CA,9.81,20.56,49.0,0.45,11.43,0.0,1
300201983,Lightning,0.4,0,41.48555556,-123.5575,CA,7.4,20.56,56.0,0.45,5.588,0.0,1
300201985,Lightning,1.0,0,41.47916667,-123.66111111,CA,9.49,25.0,27.0,2.23,4.826,0.0,1
300201987,Debris Burning,0.1,0,41.28583333,-123.5775,CA,8.44,11.11,64.0,0.9,40.132,0.0,1
300201988,Lightning,1.0,0,41.86416667,-123.84388889,CA,6.02666666666667,20.3733333333333,54.6666666666667,2.38333333333333,1964.60533333333,0.0,1
300201989,Lightning,639.0,1,41.58777778,-123.79722222,CA,9.71,20.56,22.0,1.79,15.494,0.0,1
300201990,Lightning,898.0,1,41.60111111,-123.85138889,CA,9.25,20.56,22.0,1.79,15.494,0.0,1
300201991,Lightning,11619.0,1,41.81527778,-123.74833333,CA,6.585,25.28,19.0,3.575,7.239,0.0,1
300201992,Lightning,0.5,0,41.685,-123.72666667,CA,4.63,22.78,27.0,3.13,1378.712,0.0,1
300201993,Lightning,10.5,0,41.75166667,-123.68555556,CA,5.88,25.56,15.0,4.02,14.478,0.0,1
300201995,Lightning,5679.0,1,41.76361111,-123.96222222,CA,6.86333333333333,20.9266666666667,48.0,2.23333333333333,6.94266666666667,0.0,1
300201996,Lightning,0.1,0,41.81833333,-123.98333333,CA,3.98,19.445,58.0,1.565,2.667,0.0,1
300201997,Lightning,0.1,0,41.68611111,-123.92,CA,7.06,23.89,29.0,4.02,15.494,0.0,1
300201999,Lightning,0.1,0,41.87194444,-123.84972222,CA,4.295,19.445,58.0,1.565,2.667,0.0,1
300202000,Lightning,0.1,0,41.90277778,-123.74972222,CA,7.155,23.89,25.0,2.68,755.396,0.0,1
300202001,Miscellaneous,0.25,0,41.80583333,-124.05222222,CA,8.1875,8.065,79.25,2.975,2229.358,0.0,1
300202002,Lightning,0.2,0,40.79694444,-123.62222222,CA,8.49,7.78333333333333,93.6666666666667,0.743333333333333,807.466,0.0,1
300202003,Lightning,6797.8,1,40.95694444,-123.45333333,CA,6.93,16.115,66.5,0.0,895.604,0.0,1
300202004,Lightning,0.1,0,40.96638889,-123.46638889,CA,6.48,21.115,63.5,0.225,895.604,0.0,1
300202005,Lightning,1529.8,1,41.01416667,-123.46777778,CA,6.4,21.67,62.0,0.0,895.604,0.0,1
300202006,Miscellaneous,0.2,0,41.37972222,-123.485,CA,0.82,2.22,95.0,1.34,942.34,0.0,1
300202007,Miscellaneous,0.29,0,40.41194444,-123.44833333,CA,7.28333333333333,7.04,97.0,0.0,871.050666666667,0.0,1
